"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2022","110.44","110.00","111.24","107.91","20.27M","1.02%"
"05/27/2022","109.32","106.89","109.37","106.53","13.67M","3.51%"
"05/26/2022","105.61","104.22","106.13","103.96","11.30M","2.28%"
"05/25/2022","103.26","101.43","103.81","101.16","11.03M","1.64%"
"05/24/2022","101.59","103.71","103.84","100.13","13.97M","-4.01%"
"05/23/2022","105.83","103.76","106.03","101.56","14.40M","3.33%"
"05/20/2022","102.42","104.49","104.80","100.05","15.65M","-0.70%"
"05/19/2022","103.14","103.43","105.30","102.96","11.28M","-1.11%"
"05/18/2022","104.30","107.38","107.66","103.88","11.79M","-3.99%"
"05/17/2022","108.64","107.73","108.79","106.30","11.85M","3.29%"
"05/16/2022","105.18","107.46","107.62","104.85","11.99M","-2.00%"
"05/13/2022","107.33","105.36","107.69","105.31","16.78M","2.90%"
"05/12/2022","104.31","102.90","105.00","99.47","36.30M","-0.86%"
"05/11/2022","105.21","107.90","110.07","104.79","26.93M","-2.29%"
"05/10/2022","107.68","109.83","110.70","106.14","15.66M","0.65%"
"05/09/2022","106.98","108.11","110.74","106.48","17.94M","-3.00%"
"05/06/2022","110.29","111.77","112.09","108.30","12.53M","-2.06%"
"05/05/2022","112.61","114.74","115.27","111.48","12.72M","-3.08%"
"05/04/2022","116.19","113.37","116.44","111.83","11.49M","2.32%"
"05/03/2022","113.55","114.05","114.83","112.69","11.15M","0.04%"
"05/02/2022","113.50","111.71","113.66","111.01","14.30M","1.68%"
"04/29/2022","111.63","115.20","115.99","111.36","16.91M","-3.17%"
"04/28/2022","115.29","115.22","116.00","112.69","23.19M","0.07%"
"04/27/2022","115.21","115.43","116.90","113.39","15.55M","-0.48%"
"04/26/2022","115.77","119.15","119.15","115.64","16.12M","-3.48%"
"04/25/2022","119.95","117.66","120.33","116.75","16.49M","1.42%"
"04/22/2022","118.27","120.01","121.89","118.15","19.47M","-2.79%"
"04/21/2022","121.66","125.54","126.45","121.28","18.69M","-2.34%"
"04/20/2022","124.57","126.05","127.35","124.11","36.47M","-5.56%"
"04/19/2022","131.90","128.09","133.19","127.79","12.77M","3.23%"
"04/18/2022","127.77","130.07","130.22","126.82","10.57M","-2.07%"
"04/14/2022","130.47","132.81","133.59","130.35","7.28M","-1.42%"
"04/13/2022","132.35","131.05","132.89","130.75","7.69M","1.15%"
"04/12/2022","130.84","131.81","133.21","130.15","7.89M","0.15%"
"04/11/2022","130.65","130.04","132.43","130.04","9.92M","-0.93%"
"04/08/2022","131.87","132.00","133.12","130.63","6.70M","0.00%"
"04/07/2022","131.87","133.01","133.21","130.02","9.86M","-0.53%"
"04/06/2022","132.57","133.75","133.93","130.81","11.68M","-2.25%"
"04/05/2022","135.62","137.74","139.20","135.13","8.69M","-2.14%"
"04/04/2022","138.58","136.97","139.26","136.89","8.18M","1.15%"
"04/01/2022","137.00","137.34","138.10","135.53","10.34M","-0.12%"
"03/31/2022","137.16","140.14","140.88","137.11","12.31M","-2.70%"
"03/30/2022","140.96","141.31","143.27","140.08","7.92M","-1.00%"
"03/29/2022","142.38","140.96","144.46","140.96","11.28M","2.64%"
"03/28/2022","138.72","138.88","139.63","136.28","8.46M","-0.30%"
"03/25/2022","139.14","139.28","140.38","138.12","5.95M","0.13%"
"03/24/2022","138.96","138.58","139.27","137.41","5.86M","0.96%"
"03/23/2022","137.64","139.07","139.76","137.54","8.76M","-1.76%"
"03/22/2022","140.11","139.06","142.19","138.90","8.51M","1.07%"
"03/21/2022","138.62","138.90","139.30","136.88","9.09M","-1.20%"
"03/18/2022","140.30","139.55","140.73","138.30","11.31M","0.60%"
"03/17/2022","139.47","137.44","139.47","136.56","6.82M","0.96%"
"03/16/2022","138.14","135.65","138.98","134.94","10.64M","2.94%"
"03/15/2022","134.20","129.74","134.56","129.51","9.83M","4.01%"
"03/14/2022","129.03","130.98","133.07","128.38","9.97M","-2.06%"
"03/11/2022","131.75","135.08","136.16","131.57","7.06M","-1.41%"
"03/10/2022","133.64","132.36","134.20","131.62","8.45M","-0.01%"
"03/09/2022","133.65","135.49","135.50","133.36","14.67M","1.44%"
"03/08/2022","131.75","133.02","135.49","129.29","16.55M","-1.31%"
"03/07/2022","133.50","140.28","140.89","133.44","14.55M","-5.13%"
"03/04/2022","140.72","144.01","144.26","139.55","12.93M","-3.33%"
"03/03/2022","145.57","147.31","148.65","144.45","8.05M","-1.20%"
"03/02/2022","147.34","146.31","148.46","145.92","7.85M","1.13%"
"03/01/2022","145.70","147.86","148.15","143.78","8.94M","-1.86%"
"02/28/2022","148.46","147.83","149.48","146.46","10.83M","-0.72%"
"02/25/2022","149.53","149.56","150.28","147.22","10.15M","0.09%"
"02/24/2022","149.40","140.00","149.57","140.00","12.48M","2.42%"
"02/23/2022","145.87","149.50","149.74","145.50","9.30M","-1.50%"
"02/22/2022","148.09","150.19","150.79","147.61","12.23M","-2.16%"
"02/18/2022","151.36","152.91","153.68","150.05","10.79M","-1.04%"
"02/17/2022","152.95","154.69","155.36","152.61","8.11M","-2.17%"
